first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value
My,Chaston,Male,92,16-07-1966,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,1.06,1.325,1.65625,1.65625,133,133,1.2375
Isak,Bergstram,Male,14,08-03-2001,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,0.45,0.5625,0.703125,0.703125,142,142,1.23515625
Grannie,Cracker,Male,28,06-03-1949,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,0.71,0.8875,0.8875,0.754375,142,142,1.23515625
Welby,Lourenco,Male,6,27-12-1975,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,0.95,1.1875,1.484375,1.484375,144,144,1.234375
Glenn,Casbourne,Female,4,08-08-1981,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,0.91,0.91,0.91,0.7735,144,144,1.234375
Nadiya,Balasini,Female,40,05-11-1950,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,1,1,1.25,1.0625,146,146,1.225
Tyne,Coate,Female,82,15-07-1965,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,0.61,0.61,0.7625,0.648125,146,146,1.225
Christie,Anders,Male,38,02-10-1969,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,0.75,0.75,0.9375,0.796875,146,146,1.225
Agnella,Capener,Female,58,21-05-1969,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,0.98,0.98,0.98,0.98,146,146,1.225
Bernardine,Delmonti,Female,39,31-03-1971,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,0.58,0.58,0.58,0.493,146,146,1.225
Daisy,Spowart,Female,60,18-12-1967,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,0.86,1.075,1.075,1.075,146,146,1.225
Denys,Minshall,Female,30,26-12-1961,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,0.8,1,1,1,152,152,1.221875
Archibald,Blessed,Male,61,10-02-1969,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,0.98,1.225,1.53125,1.3015625,153,153,1.21875
Feodor,Englishby,Male,54,14-08-1961,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,0.77,0.77,0.77,0.6545,154,154,1.203125
Skippie,Yearsley,Male,6,04-09-1956,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,0.91,0.91,0.91,0.7735,155,155,1.2
Bill,,Female,74,24-04-1963,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,0.68,0.85,1.0625,0.903125,155,155,1.2
Tessa,Friese,Female,89,24-10-1976,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,0.43,0.43,0.5375,0.456875,157,157,1.1953125
Roseanne,Caruth,Female,16,25-05-1957,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,0.41,0.41,0.5125,0.435625,158,158,1.1875
Tedra,Goodbanne,Female,4,15-01-1978,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,1.01,1.2625,1.578125,1.34140625,158,158,1.1875
Roberto,Harme,Male,27,11-06-1951,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,0.75,0.75,0.9375,0.9375,158,158,1.1875
Nichole,Leisman,Male,37,07-08-1986,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,0.42,0.42,0.525,0.525,158,158,1.1875
Amil,Ennor,Female,23,04-08-1995,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,0.5,0.625,0.78125,0.6640625,158,158,1.1875
Shawna,Hinrichsen,Female,60,27-08-1969,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,0.55,0.6875,0.6875,0.6875,163,163,1.18203125
Fonsie,Levane,Male,96,10-07-1951,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,0.84,1.05,1.3125,1.3125,163,163,1.18203125
Emilie,Brody,Female,3,22-05-1979,Director of Sales,n/a,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,0.57,0.7125,0.890625,0.75703125,163,163,1.18203125
Robert,Corkill,Male,55,12-03-1976,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,0.6,0.6,0.75,0.6375,166,166,1.175
Elvira,Kurten,Female,65,18-03-1973,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,0.42,0.42,0.42,0.42,166,166,1.175
Juliana,Mitchenson,Female,55,05-01-1989,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,0.86,1.075,1.075,0.91375,166,166,1.175
Regine,Bownes,Female,99,01-07-1952,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,0.64,0.64,0.8,0.8,166,166,1.175
Abner,Fraschetti,Male,33,23-01-1986,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,1.06,1.06,1.06,1.06,166,166,1.175
Alvira,Coulman,Female,42,05-06-1955,Account Representative II,n/a,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,0.92,0.92,1.15,1.15,166,166,1.175
Sawyer,Sponton,Male,36,22-02-1956,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,0.59,0.7375,0.921875,0.78359375,166,166,1.175
Feodor,Vickers,Male,60,18-11-1989,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,0.45,0.5625,0.5625,0.478125,173,173,1.171875
Paten,Cayet,Male,56,19-02-1995,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,0.69,0.8625,0.8625,0.8625,174,174,1.16875
Loria,Tappington,Female,72,06-09-1955,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,0.4,0.4,0.4,0.34,174,174,1.16875
Tanya,Kiefer,Female,54,05-07-1992,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,0.55,0.55,0.6875,0.6875,174,174,1.16875
Devonne,Alderwick,Female,79,29-01-1939,Research Associate,n/a,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,0.98,1.225,1.225,1.225,177,177,1.1625
Omero,McDonand,Male,51,01-04-1952,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,0.46,0.46,0.575,0.48875,177,177,1.1625
Iain,Haversham,Male,92,26-12-1950,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,1,1.25,1.5625,1.328125,177,177,1.1625
Keriann,Newham,Female,71,26-03-1975,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,0.93,0.93,1.1625,0.988125,177,177,1.1625
Conroy,Rappaport,Male,39,08-01-1965,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,0.93,0.93,1.1625,1.1625,181,181,1.158125
Dorian,Rustman,Male,78,09-12-1974,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,1.05,1.05,1.05,0.8925,181,181,1.158125
Quillan,Guinane,Male,36,24-03-1946,Community Outreach Specialist,n/a,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,0.59,0.7375,0.7375,0.7375,181,181,1.158125
Harlin,Mazin,Male,34,25-03-1974,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,1.07,1.3375,1.3375,1.136875,181,181,1.158125
Eustacia,Dornan,Female,68,02-09-1985,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,0.7,0.7,0.875,0.74375,181,181,1.158125
Maury,Galego,Male,65,27-07-1992,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,0.72,0.9,1.125,1.125,181,181,1.158125
Reggie,Kernar,Female,26,28-11-1971,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,0.43,0.43,0.5375,0.5375,181,181,1.158125
Brigitte,Whellams,Female,67,09-05-1973,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,0.87,1.0875,1.0875,0.924375,188,188,1.15625
Kinna,Kollasch,Female,7,09-11-1986,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,0.94,0.94,1.175,1.175,188,188,1.15625
Maurizio,Comi,Male,74,30-05-1996,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,0.45,0.45,0.5625,0.5625,190,190,1.15546875
Elbertina,Fendley,Female,32,27-03-1992,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,0.65,0.65,0.8125,0.8125,191,191,1.15
Franklin,Wohler,Male,55,16-10-1938,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,0.51,0.6375,0.6375,0.541875,191,191,1.15
Allyson,Petchell,Female,16,19-03-1970,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,0.85,0.85,0.85,0.85,191,191,1.15
Ermentrude,Heindle,Female,47,02-08-1969,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,0.61,0.61,0.7625,0.648125,191,191,1.15
Alanna,Lerway,Female,26,05-01-1944,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,0.43,0.5375,0.671875,0.57109375,195,195,1.1475
Vincent,Jopke,Male,6,10-03-1972,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,0.89,0.89,0.89,0.89,195,195,1.1475
Mandie,Jeffryes,Female,60,16-02-1981,Business Systems Development Analyst,n/a,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,0.79,0.79,0.9875,0.9875,195,195,1.1475
Collete,Dory,Female,66,09-01-1990,Information Systems Manager,n/a,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,0.41,0.41,0.5125,0.5125,195,195,1.1475
Leonid,Dorricott,Male,44,18-11-1993,Environmental Tech,n/a,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,1.08,1.08,1.08,1.08,195,195,1.1475
Charlena,Berney,Female,55,02-01-1966,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,0.83,1.0375,1.0375,1.0375,195,195,1.1475
Alfonso,Massel,Male,70,05-12-1940,,n/a,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,0.92,1.15,1.15,0.9775,201,201,1.1421875
Engracia,Dobbs,Female,84,19-04-1959,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,0.81,0.81,1.0125,0.860625,202,202,1.140625
Glyn,,Male,47,13-02-1945,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,0.71,0.8875,1.109375,1.109375,202,202,1.140625
Rosemonde,Cartwight,Female,44,20-10-1952,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,0.65,0.8125,0.8125,0.690625,202,202,1.140625
Alano,Satchel,Male,2,26-11-1998,Recruiting Manager,n/a,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,0.69,0.69,0.69,0.5865,202,202,1.140625
Corrine,Baribal,Female,19,12-10-1948,Senior Sales Associate,n/a,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,0.58,0.725,0.725,0.725,206,206,1.1375
Benoit,Harniman,Male,31,27-08-1976,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,0.46,0.46,0.46,0.46,206,206,1.1375
Jeanne,Darte,Female,70,18-08-1955,,n/a,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,0.51,0.6375,0.6375,0.541875,206,206,1.1375
Jenelle,Fearnill,Female,12,03-01-1958,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,0.74,0.74,0.925,0.925,206,206,1.1375
Tannie,Gambrell,Male,92,25-05-1967,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,0.95,0.95,1.1875,1.1875,206,206,1.1375
Mick,Macewan,Male,32,12-12-1967,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,0.94,0.94,1.175,0.99875,206,206,1.1375
Abbie,Oldman,Male,82,26-11-1983,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,0.46,0.575,0.71875,0.71875,212,212,1.136875
Tabbie,Curner,Male,12,13-03-1997,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,0.58,0.58,0.58,0.493,212,212,1.136875
Shane,Killen,Male,28,16-10-1956,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,0.79,0.79,0.79,0.79,212,212,1.136875
Roberta,Goodale,Female,9,28-02-1947,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,0.42,0.525,0.525,0.44625,215,215,1.12890625
Kippy,Barabisch,Male,11,07-04-2000,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,0.87,0.87,1.0875,0.924375,215,215,1.12890625
Rosalinde,Cubuzzi,Female,50,04-09-1997,Business Systems Development Analyst,n/a,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.7,0.7,0.7,0.595,215,215,1.12890625
Cami,Barnbrook,Female,8,01-01-1963,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,0.78,0.975,0.975,0.975,218,218,1.12625
Dorian,Stollen,Male,78,16-02-1980,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,1.08,1.35,1.6875,1.434375,219,219,1.125
Hunfredo,Hayball,Male,7,15-04-1994,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,0.76,0.76,0.76,0.76,219,219,1.125
Giorgi,O'Shirine,Male,68,20-06-1981,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,0.93,1.1625,1.1625,0.988125,219,219,1.125
Kort,Disley,Male,66,05-02-1979,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,0.91,1.1375,1.421875,1.20859375,219,219,1.125
Gretna,Thredder,Female,62,08-01-1966,,n/a,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,0.65,0.65,0.8125,0.690625,223,223,1.115625
Tobiah,Heinsius,Male,66,25-01-2000,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,0.47,0.47,0.47,0.47,223,223,1.115625
Wallace,Newart,Male,91,06-12-1977,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,0.67,0.67,0.8375,0.711875,223,223,1.115625
Hersh,Stubbert,Male,0,25-06-2000,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,0.57,0.7125,0.7125,0.605625,226,226,1.1125
Hatti,Carletti,U,35,,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,0.69,0.8625,1.078125,1.078125,226,226,1.1125
Wyn,Saynor,Male,54,22-06-1964,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,0.68,0.68,0.85,0.85,226,226,1.1125
Maribeth,Stivani,Female,46,13-11-1954,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,0.99,0.99,0.99,0.8415,226,226,1.1125
Abigale,Sives,Female,48,13-12-1963,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,0.67,0.8375,0.8375,0.8375,230,230,1.109375
Gothart,Artus,Male,52,31-05-1978,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,0.41,0.5125,0.640625,0.54453125,231,231,1.105
Danny,Bodle,Male,50,24-09-1943,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,1.04,1.3,1.625,1.38125,231,231,1.105
Vittorio,Boxen,Male,94,15-08-1965,Mechanical Systems Engineer,n/a,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,0.71,0.71,0.8875,0.754375,233,233,1.1
Deborah,Petrovsky,Female,53,14-07-1943,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,1.09,1.09,1.09,0.9265,233,233,1.1
Agace,Hedge,Female,25,23-07-1997,Media Manager II,n/a,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,0.48,0.6,0.6,0.51,233,233,1.1
Rolland,Esmead,Male,41,13-07-1940,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,1.1,1.1,1.1,1.1,233,233,1.1
Latrena,Walklate,Female,97,05-10-1943,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,0.45,0.5625,0.703125,0.703125,237,237,1.094375
Mariquilla,Springthorpe,Female,30,04-04-1939,Director of Sales,n/a,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,0.82,1.025,1.28125,1.0890625,237,237,1.094375
Leticia,Danovich,Female,84,02-10-1941,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,1,1.25,1.5625,1.328125,237,237,1.094375
Harman,Lynds,Male,4,27-05-1961,Professor,n/a,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,0.98,1.225,1.225,1.04125,240,240,1.09
Farra,Matyushkin,Female,18,24-01-1974,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,0.77,0.9625,1.203125,1.203125,241,241,1.0875
Robenia,Monks,Female,94,08-05-1959,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,0.45,0.45,0.5625,0.478125,241,241,1.0875
Roman,Eastwood,Male,57,21-09-1969,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,0.43,0.5375,0.5375,0.5375,241,241,1.0875
Solomon,Bruck,Male,29,15-11-1957,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,0.91,0.91,0.91,0.7735,244,244,1.08375
Krystyna,Airey,Female,2,05-09-1950,Safety Technician II,n/a,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,0.85,1.0625,1.0625,0.903125,244,244,1.08375
Katharine,Redbourn,Female,8,11-09-1967,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,1.09,1.3625,1.703125,1.703125,244,244,1.08375
Cammy,Stoneham,Female,74,02-05-1963,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,0.77,0.77,0.77,0.77,244,244,1.08375
Ellsworth,Andrieux,Male,49,26-04-1971,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,0.89,1.1125,1.1125,1.1125,248,248,1.078125
Federico,Leuty,Male,59,11-12-1978,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,0.53,0.6625,0.6625,0.6625,249,249,1.07578125
Ferdy,Hornung,Male,57,14-05-1974,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,0.74,0.74,0.74,0.74,250,250,1.075
Sunny,Christescu,Female,90,12-03-1975,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,0.77,0.77,0.9625,0.818125,250,250,1.075
Shadow,Yakutin,Male,85,03-02-1967,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,0.71,0.8875,1.109375,1.109375,252,252,1.073125
Sharai,Priddie,Female,13,16-01-1961,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,0.64,0.64,0.8,0.68,252,252,1.073125
Celeste,Fretson,Female,91,16-09-1980,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,0.68,0.68,0.85,0.7225,252,252,1.073125
Lea,Ilyinski,Female,75,25-09-1997,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,0.69,0.69,0.8625,0.8625,252,252,1.073125
Dyann,Olechnowicz,Female,17,17-07-1939,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,0.58,0.58,0.725,0.61625,252,252,1.073125
Delly,Sunman,Female,49,11-04-1959,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,0.57,0.57,0.7125,0.605625,252,252,1.073125
Malvin,Ryhorovich,Male,37,03-03-1962,Quality Control Specialist,n/a,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,1.07,1.07,1.07,0.9095,252,252,1.073125
Tanya,Hamberston,Female,45,25-09-2000,Product Engineer,n/a,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,0.56,0.7,0.7,0.595,259,259,1.0625
Kaela,Romaines,Female,41,27-11-1971,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,0.92,0.92,1.15,1.15,259,259,1.0625
Evonne,Bembridge,Female,9,06-07-1969,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,0.61,0.7625,0.953125,0.81015625,259,259,1.0625
Shannen,Lewin,Female,21,07-06-1991,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,0.61,0.61,0.61,0.61,259,259,1.0625
Bogey,Attew,Male,88,18-11-1992,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,0.98,1.225,1.53125,1.3015625,259,259,1.0625
Zondra,Ringham,Female,36,13-01-1948,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,0.51,0.6375,0.6375,0.541875,259,259,1.0625
Barnebas,Apfel,Male,57,19-02-1996,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,0.78,0.975,0.975,0.975,259,259,1.0625
Alleen,Eaken,Female,56,31-08-1938,,n/a,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,0.66,0.66,0.825,0.70125,259,259,1.0625
Gerri,Schimann,Female,81,17-11-1969,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,1.01,1.2625,1.578125,1.34140625,259,259,1.0625
Antonietta,Egle,Female,82,25-09-1973,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,0.92,0.92,1.15,0.9775,259,259,1.0625
Raff,Waycott,Male,70,16-12-1951,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,0.5,0.625,0.625,0.625,259,259,1.0625
Lark,Gonet,Female,89,17-01-1972,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,1.08,1.08,1.35,1.35,259,259,1.0625
Cletis,Longley,Male,84,01-07-1996,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,0.61,0.7625,0.953125,0.953125,271,271,1.06
Bartram,Di Lucia,Male,70,03-01-1961,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,0.87,1.0875,1.0875,0.924375,271,271,1.06
Theresa,Cowper,Female,99,24-08-1976,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,0.85,0.85,1.0625,0.903125,271,271,1.06
Philbert,Raraty,Male,48,28-06-1956,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,1.03,1.03,1.2875,1.094375,274,274,1.051875
Egon,Ortells,Male,35,11-06-1976,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,0.44,0.44,0.55,0.55,274,274,1.051875
Dahlia,Shovlar,Female,90,07-03-1966,Environmental Specialist,n/a,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,1.01,1.2625,1.578125,1.578125,274,274,1.051875
Timi,Duny,Female,70,12-03-1953,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,0.42,0.42,0.525,0.525,274,274,1.051875
Dominick,Asher,Male,50,06-10-1962,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,0.75,0.9375,1.171875,1.171875,278,278,1.05
Raye,Roo,Female,64,07-03-1976,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,0.63,0.7875,0.984375,0.83671875,278,278,1.05
Becka,Hacon,Female,81,03-07-1965,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,0.97,0.97,1.2125,1.2125,278,278,1.05
Cirillo,Frossell,Male,7,14-10-1968,Graphic Designer,n/a,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,0.57,0.57,0.7125,0.605625,278,278,1.05
